[12:50:57:042] [WARN] - org.apache.dubbo.common.config.ConfigurationUtils.parseProperties(ConfigurationUtils.java:76) -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:57:767] [WARN] - org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:558) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'springContextReger' defined in URL [jar:file:/C:/Users/11522/.m2/repository/com/wrics/lud-util-spring/1.0-SNAPSHOT/lud-util-spring-1.0-SNAPSHOT.jar!/com/lud/util/spring/util/SpringContextReger.class]: Initialization of bean failed; nested exception is org.apache.dubbo.rpc.RpcException: No provider available from registry 127.0.0.1:3579 for service com.lud.service.core.api.data.query.DataQueryService on consumer 192.168.0.186 use dubbo version 2.7.3, please check status of providers(disabled, not registered or in blacklist).
[12:50:58:667] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:668] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:674] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:674] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:674] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:674] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:675] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:846] [WARN] - org.apache.dubbo.common.config.ConfigurationUtils.parseProperties(ConfigurationUtils.java:76) -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:888] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.config.ResourceService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:985] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.redis.RedisService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:59:063] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.query.DataQueryService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:59:133] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.command.DataCommandService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:59:146] [WARN] - org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:558) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'springContextReger' defined in URL [jar:file:/C:/Users/11522/.m2/repository/com/wrics/lud-util-spring/1.0-SNAPSHOT/lud-util-spring-1.0-SNAPSHOT.jar!/com/lud/util/spring/util/SpringContextReger.class]: Initialization of bean failed; nested exception is org.apache.dubbo.rpc.RpcException: No provider available from registry 127.0.0.1:3579 for service com.lud.service.core.api.data.query.DataQueryService on consumer 192.168.0.186 use dubbo version 2.7.3, please check status of providers(disabled, not registered or in blacklist).
[12:50:59:447] [WARN] - org.apache.dubbo.common.config.ConfigurationUtils.parseProperties(ConfigurationUtils.java:76) -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:59:539] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.config.ResourceService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:59:619] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.redis.RedisService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:59:675] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.query.DataQueryService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:59:746] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.command.DataCommandService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:59:777] [WARN] - org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:558) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'springContextReger' defined in URL [jar:file:/C:/Users/11522/.m2/repository/com/wrics/lud-util-spring/1.0-SNAPSHOT/lud-util-spring-1.0-SNAPSHOT.jar!/com/lud/util/spring/util/SpringContextReger.class]: Initialization of bean failed; nested exception is org.apache.dubbo.rpc.RpcException: No provider available from registry 127.0.0.1:3579 for service com.lud.service.core.api.data.query.DataQueryService on consumer 192.168.0.186 use dubbo version 2.7.3, please check status of providers(disabled, not registered or in blacklist).
[12:51:00:161] [WARN] - org.apache.dubbo.common.config.ConfigurationUtils.parseProperties(ConfigurationUtils.java:76) -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:00:227] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.config.ResourceService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:00:717] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.redis.RedisService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:00:842] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.query.DataQueryService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:00:892] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.command.DataCommandService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:00:904] [WARN] - org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:558) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'springContextReger' defined in URL [jar:file:/C:/Users/11522/.m2/repository/com/wrics/lud-util-spring/1.0-SNAPSHOT/lud-util-spring-1.0-SNAPSHOT.jar!/com/lud/util/spring/util/SpringContextReger.class]: Initialization of bean failed; nested exception is org.apache.dubbo.rpc.RpcException: No provider available from registry 127.0.0.1:3579 for service com.lud.service.core.api.data.query.DataQueryService on consumer 192.168.0.186 use dubbo version 2.7.3, please check status of providers(disabled, not registered or in blacklist).
[12:51:01:044] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:044] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:045] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:045] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:045] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:046] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:047] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:047] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:048] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:048] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:048] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:048] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:048] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:049] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:049] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:049] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:049] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:049] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:151] [WARN] - org.apache.dubbo.common.config.ConfigurationUtils.parseProperties(ConfigurationUtils.java:76) -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:202] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.config.ResourceService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:322] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.redis.RedisService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:398] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.query.DataQueryService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:497] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.command.DataCommandService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:507] [WARN] - org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:558) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'springContextReger' defined in URL [jar:file:/C:/Users/11522/.m2/repository/com/wrics/lud-util-spring/1.0-SNAPSHOT/lud-util-spring-1.0-SNAPSHOT.jar!/com/lud/util/spring/util/SpringContextReger.class]: Initialization of bean failed; nested exception is org.apache.dubbo.rpc.RpcException: No provider available from registry 127.0.0.1:3579 for service com.lud.service.core.api.data.query.DataQueryService on consumer 192.168.0.186 use dubbo version 2.7.3, please check status of providers(disabled, not registered or in blacklist).
[12:51:01:755] [WARN] - org.apache.dubbo.common.config.ConfigurationUtils.parseProperties(ConfigurationUtils.java:76) -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:777] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.config.ResourceService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:01:950] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.redis.RedisService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:02:109] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.query.DataQueryService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:02:263] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.command.DataCommandService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:51:02:273] [WARN] - org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:558) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'springContextReger' defined in URL [jar:file:/C:/Users/11522/.m2/repository/com/wrics/lud-util-spring/1.0-SNAPSHOT/lud-util-spring-1.0-SNAPSHOT.jar!/com/lud/util/spring/util/SpringContextReger.class]: Initialization of bean failed; nested exception is org.apache.dubbo.rpc.RpcException: No provider available from registry 127.0.0.1:3579 for service com.lud.service.core.api.data.query.DataQueryService on consumer 192.168.0.186 use dubbo version 2.7.3, please check status of providers(disabled, not registered or in blacklist).
